date,Open,High,Low,OT,Adj Close,Volume
10/16/2012,1736.699951,1744.699951,1736.599976,1744.699951,1744.699951,15
10/17/2012,1749.400024,1751.5,1746,1751.5,1751.5,36
10/18/2012,1749.099976,1749.099976,1740.5,1743.300049,1743.300049,27
10/19/2012,1741.099976,1741.099976,1721,1722.800049,1722.800049,70
10/22/2012,1715,1728.300049,1715,1725.099976,1725.099976,12
10/23/2012,1726.599976,1726.599976,1708.300049,1708.300049,1708.300049,75
10/24/2012,1708.400024,1708.5,1698.599976,1700.5,1700.5,27
10/25/2012,1711.699951,1716.699951,1711.699951,1712,1712,33
10/26/2012,1706.099976,1716.199951,1706.099976,1710.900024,1710.900024,77
10/31/2012,1714.400024,1724.5,1714.400024,1717.5,1717.5,64
11/1/2012,1722.300049,1725.099976,1714.099976,1714.099976,1714.099976,24
11/2/2012,1711.300049,1711.300049,1674.099976,1674.099976,1674.099976,50
11/5/2012,1682.800049,1683.099976,1674.300049,1682.199951,1682.199951,7
11/6/2012,1690.099976,1718,1690.099976,1714.099976,1714.099976,47
11/7/2012,1707.699951,1726.5,1703.699951,1713.199951,1713.199951,42
11/8/2012,1715.900024,1725.400024,1714.199951,1725.400024,1725.400024,34
11/9/2012,1733.699951,1734.099976,1727.599976,1730.300049,1730.300049,6
11/12/2012,1733.199951,1733.400024,1730.300049,1730.300049,1730.300049,6
11/13/2012,1721.599976,1728.199951,1718.5,1724.199951,1724.199951,12
11/14/2012,1722,1729.5,1722,1729.5,1729.5,11
11/15/2012,1724.900024,1724.900024,1706.300049,1713.300049,1713.300049,10
11/16/2012,1710,1714.300049,1706.900024,1714.300049,1714.300049,16
11/19/2012,1721.800049,1734,1721.800049,1734,1734,4
11/20/2012,1730.599976,1731.099976,1722.5,1723.199951,1723.199951,21
11/21/2012,1725.800049,1727.900024,1725.800049,1727.900024,1727.900024,23
11/23/2012,1735,1751.300049,1735,1751.300049,1751.300049,8
11/26/2012,1750.300049,1750.5,1749.400024,1749.5,1749.5,24
11/27/2012,1746.400024,1746.400024,1742.199951,1742.199951,1742.199951,7
11/28/2012,1739.800049,1739.800049,1716.5,1716.5,1716.5,276136
11/29/2012,1719.599976,1729,1717.699951,1727.199951,1727.199951,65599
11/30/2012,1725.199951,1731.199951,1708.400024,1710.900024,1710.900024,3690
12/3/2012,1714.900024,1721.900024,1714.5,1719.599976,1719.599976,1238
12/4/2012,1716.300049,1716.800049,1691.599976,1694.400024,1694.400024,1428
12/5/2012,1697.099976,1706,1685,1692.400024,1692.400024,1262
12/6/2012,1694.300049,1702.099976,1686.400024,1700.300049,1700.300049,525
12/7/2012,1701.199951,1704.5,1684,1704,1704,169
12/10/2012,1704.199951,1717,1704.199951,1713,1713,88
12/11/2012,1710,1714.099976,1705.900024,1708.199951,1708.199951,88
12/12/2012,1710.099976,1722.300049,1708,1716.599976,1716.599976,195
12/13/2012,1707.199951,1707.199951,1689.900024,1695.599976,1695.599976,240
12/14/2012,1698.300049,1699.199951,1694.400024,1695.800049,1695.800049,72
12/17/2012,1690.5,1698.5,1689.5,1697,1697,65
12/18/2012,1701.400024,1702.800049,1661,1669.5,1669.5,501
12/19/2012,1675.300049,1676,1664.599976,1666.5,1666.5,76
12/20/2012,1667.900024,1671,1637.599976,1644.900024,1644.900024,158
12/21/2012,1648,1659.099976,1635.800049,1659.099976,1659.099976,78
12/24/2012,1657.699951,1663.800049,1654.900024,1658.599976,1658.599976,73
12/26/2012,1654.5,1666.699951,1654.5,1659.800049,1659.800049,73
12/27/2012,1656.199951,1662.599976,1656.199951,1662.599976,1662.599976,446
12/28/2012,1664,1664,1653.699951,1654.900024,1654.900024,197
12/31/2012,1655.400024,1677.099976,1655.400024,1674.800049,1674.800049,89
1/2/2013,1672.800049,1693.800049,1670,1687.900024,1687.900024,35
1/3/2013,1686.099976,1686.800049,1662,1673.699951,1673.699951,140
1/4/2013,1647,1658.300049,1625.699951,1648.099976,1648.099976,199
1/7/2013,1656.5,1659.900024,1643.800049,1645.5,1645.5,49
1/8/2013,1647.699951,1661.5,1647.699951,1661.5,1661.5,17
1/9/2013,1658.599976,1662.099976,1651.900024,1654.800049,1654.800049,9
1/10/2013,1672.5,1677.300049,1672.5,1677.300049,1677.300049,9
1/11/2013,1673.099976,1673.099976,1654.199951,1660,1660,147
1/14/2013,1665.400024,1673.800049,1664.099976,1668.900024,1668.900024,10
1/15/2013,1671.599976,1684.300049,1671.599976,1683.400024,1683.400024,20
1/16/2013,1674.400024,1682.699951,1674.400024,1682.699951,1682.699951,11
1/17/2013,1676.400024,1694.599976,1671,1690.400024,1690.400024,81
1/18/2013,1687.400024,1692,1686.599976,1686.599976,1686.599976,14
1/22/2013,1690.300049,1694.699951,1687.800049,1692.800049,1692.800049,15
1/23/2013,1691.300049,1693.699951,1685.199951,1686.300049,1686.300049,28
1/24/2013,1680.800049,1681.699951,1668,1669.5,1669.5,13
1/25/2013,1663,1663,1656.400024,1656.400024,1656.400024,44
1/28/2013,1651.599976,1655.5,1651.599976,1652.400024,1652.400024,82
1/29/2013,1661.199951,1661.5,1660.699951,1660.699951,1660.699951,145863
1/30/2013,1662.400024,1683,1661.800049,1679.900024,1679.900024,44893
1/31/2013,1675.400024,1680,1657.400024,1660.599976,1660.599976,6044
2/1/2013,1663.900024,1681.199951,1659.900024,1669.400024,1669.400024,3250
2/4/2013,1668,1676.5,1661.599976,1675.300049,1675.300049,450
2/5/2013,1674.199951,1683.400024,1666.5,1672.400024,1672.400024,353
2/6/2013,1672.199951,1678.5,1668,1677.699951,1677.699951,376
